"ID","Pathway_Name","GeneID","p.adjust","Gene_Name","Description","KO"
"01200","Carbon metabolism","KfGene015359-RA",1.50169419563927e-06,NA,"3-hydroxyisobutyryl-CoA hydrolase","K05605"
"01200","Carbon metabolism","KfGene015719-RA",1.50169419563927e-06,"PGK-2","phosphoglycerate kinase","K00927"
"01200","Carbon metabolism","KfGene016324-RA",1.50169419563927e-06,NA,"3hydroxyisobutyrate dehydrogenase","K18121"
"01200","Carbon metabolism","KfGene016438-RA",1.50169419563927e-06,NA,"3hydroxyisobutyrate dehydrogenase","K18121"
"01200","Carbon metabolism","KfGene016583-RA",1.50169419563927e-06,NA,"D-glycerate 3-kinase","K15918"
"01200","Carbon metabolism","KfGene016704-RA",1.50169419563927e-06,"OASA1","cysteine synthase","K01738"
"01200","Carbon metabolism","KfGene017198-RA",1.50169419563927e-06,"LTA3","Pyruvate dehydrogenase","K00627"
"01200","Carbon metabolism","KfGene017407-RA",1.50169419563927e-06,NA,"Peroxisomal","K17865,K18532"
"01200","Carbon metabolism","KfGene017666-RA",1.50169419563927e-06,NA,"Aspartate aminotransferase","K14454"
"01200","Carbon metabolism","KfGene017888-RA",1.50169419563927e-06,NA,"phosphoglycerate mutase","K15633"
"01200","Carbon metabolism","KfGene018070-RA",1.50169419563927e-06,NA,"enolase (EC 4.2.1.11)","K01689"
"01200","Carbon metabolism","KfGene018137-RA",1.50169419563927e-06,"ENO1","enolase (EC 4.2.1.11)","K01689,K03355"
"01200","Carbon metabolism","KfGene018138-RA",1.50169419563927e-06,NA,"enolase (EC 4.2.1.11)","K01689"
"01200","Carbon metabolism","KfGene019050-RA",1.50169419563927e-06,"PGK1","phosphoglycerate kinase","K00927"
"01200","Carbon metabolism","KfGene019095-RA",1.50169419563927e-06,NA,"Through the carboxylation of phosphoenolpyruvate (PEP) it forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","K01595"
"01200","Carbon metabolism","KfGene019359-RA",1.50169419563927e-06,NA,"idnK gluconokinase homolog (E. coli)","K00851"
"01200","Carbon metabolism","KfGene019478-RA",1.50169419563927e-06,"GAPA","glyceraldehyde3phosphate dehydrogenase","K05298"
"01200","Carbon metabolism","KfGene019547-RA",1.50169419563927e-06,"GAPA","glyceraldehyde3phosphate dehydrogenase","K05298"
