"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
40.1513021983651,-1.51595250234509,2.23796461958686,73.8645443833072,1.60511920309551e-14,4.83755956547687e-13,"KfGene000003-RA"
13.6172215272834,0.323508758590048,0.693619075481568,21.1283861917105,0.000766039947915081,0.00294588378453682,"KfGene000008-RA"
383.079180072686,0.543062194514495,0.292624143972648,70.5327668286844,7.93865956902205e-14,2.18035173877482e-12,"KfGene000010-RA"
280.77810369741,-0.569990916001165,0.420997631807814,70.9424849510348,6.52298102520062e-14,1.80842117677923e-12,"KfGene000012-RA"
9.79712997829305,1.45021923725241,0.775638395785817,47.9983906931271,3.55461028646746e-09,4.73117020707874e-08,"KfGene000013-RA"
92.1253773254303,-4.51117100445052,0.928630971807,32.611280159666,4.49499993114347e-06,3.14660692466885e-05,"KfGene000018-RA"
97.6723202851865,0.376873786570126,0.268430112189948,21.4199998972295,0.000674623829038227,0.00264199972455857,"KfGene000020-RA"
139.779055229064,0.119545004556281,0.275073181419267,54.4619330748438,1.6842088122765e-10,2.81003983057931e-09,"KfGene000021-RA"
28.5729974443126,0.858609326998919,0.479552885028394,13.4437381130827,0.0195570021509051,0.0463739797072851,"KfGene000024-RA"
33.052681276169,3.23759005522697,1.37823232497204,20.0655735675113,0.00121481017435414,0.00437697712869022,"KfGene000026-RA"
87.791016236887,0.358843374156678,0.338647263905921,15.4597064207916,0.00856849713589729,0.0232489939352845,"KfGene000030-RA"
686.596264357454,-0.275793868275663,0.255278633283541,102.231617369917,1.78880894699349e-20,1.10079111246472e-18,"KfGene000031-RA"
201.539573679885,-0.0244443788287562,0.400492599813588,49.2283991417849,1.99305396841321e-09,2.77189988089242e-08,"KfGene000032-RA"
39.2550199846008,-0.760286132302984,0.43298841330221,27.2400011435379,5.12199856564127e-05,0.000274933554394777,"KfGene000036-RA"
425.522380630085,0.335969736127807,0.23534057770208,26.529291372331,7.04329257285985e-05,0.000365910369181689,"KfGene000037-RA"
340.876649643198,-0.71247392423036,0.320307702196842,55.5289923478595,1.01595883239831e-10,1.75378104782842e-09,"KfGene000039-RA"
1065.45439199393,0.162669452838862,0.198757406067782,35.4818859557824,1.20562762099562e-06,9.59770946457004e-06,"KfGene000040-RA"
217.110866008751,0.299682554813527,0.253775779419843,26.4447888022262,7.31471536910577e-05,0.000378409873014038,"KfGene000041-RA"
16.2291884532569,0.803939583144449,0.826356403213658,32.5035697388128,4.72162584343867e-06,3.28881421228388e-05,"KfGene000043-RA"
25.2762929510655,0.623395213902328,0.56628897382165,13.445268849409,0.0195449220789598,0.0463528084296221,"KfGene000048-RA"
194.550157214462,0.069637149232963,0.38290067151534,28.7277074707421,2.62208949419335e-05,0.000152067749352715,"KfGene000054-RA"
260.01416565896,0.0353913112926195,0.205633982299238,17.6886074722601,0.00336308236095202,0.0105138768888727,"KfGene000058-RA"
247.227584969426,0.240811071503967,0.268221382507321,15.9403736857411,0.0070163876952305,0.0196297359763368,"KfGene000062-RA"
235.823275431582,0.36502515474105,0.364199719914378,66.6595344457463,5.07075920461225e-13,1.23167945502617e-11,"KfGene000071-RA"
3.47906683246951,0.0954632894315679,2.7690699857561,17.3996137095836,0.00380107958904719,0.0116394707590905,"KfGene000079-RA"
645.151760168097,-0.410033387373634,0.46352852189987,253.543506399476,9.5444994062482e-53,7.7986513898553e-50,"KfGene000085-RA"
32.9889403743277,-0.470243834305432,0.496418283452935,38.9051322460988,2.48157079574399e-07,2.31290890230701e-06,"KfGene000089-RA"
1520.92314940483,-0.147390758366566,0.179048352804609,18.5276186087774,0.00235291005379008,0.0077503750540017,"KfGene000093-RA"
132.972519159413,0.422772742307397,0.382689875184394,39.1633498673303,2.20165888193099e-07,2.07903036956661e-06,"KfGene000095-RA"
80.7336974456526,0.155406760305773,0.325662833668254,20.2319366115773,0.00113046499558841,0.00411695280985923,"KfGene000096-RA"
25.3306135354947,0.288022852758389,0.665297123206952,24.4777284432017,0.000175701756868498,0.0008216640982968,"KfGene000097-RA"
10.9982717631034,-2.87664423897505,0.931492020201105,21.9981334126026,0.000524026279771757,0.00212832442335455,"KfGene000100-RA"
46.1763933893442,-3.67782750028703,0.813201174115045,46.7323646560016,6.44186613725461e-09,8.16756432876484e-08,"KfGene000110-RA"
14.9238727252964,-2.64577034580366,1.05002938720628,18.7906986879905,0.00210250381928533,0.00703345272879314,"KfGene000111-RA"
151.704089445487,0.754817805429169,0.461255334196769,73.8787637923504,1.59419569675212e-14,4.80956578666293e-13,"KfGene000112-RA"
145.480149188634,0.666819109669226,0.275225630443236,94.4471299280143,7.80528289589627e-19,4.02793677864542e-17,"KfGene000116-RA"
125.777801685404,-1.19962052353077,0.515076961995832,31.754808689692,6.64376518643327e-06,4.45873495229146e-05,"KfGene000117-RA"
759.834351220325,-0.00137916810647506,0.285052342004823,22.669589194545,0.000390361077103587,0.00164883272300431,"KfGene000119-RA"
40.9415037656316,0.793851338078091,0.420511372585765,19.3672542796499,0.00164165529594226,0.00566310431923789,"KfGene000122-RA"
6819.51941449592,-0.0677969865776355,0.27069751560945,22.6462413655069,0.000394386052938003,0.00166249150862301,"KfGene000128-RA"
14.8015048060177,-0.55895394920652,0.72837821588191,14.1892729936082,0.0144507924987827,0.0360779206715067,"KfGene000132-RA"
54.3016066960986,-0.364705858567233,0.39380188679598,15.2683740731207,0.00927510660136863,0.0248661696901981,"KfGene000133-RA"
35.904696525611,0.159482452639739,0.553402917312148,37.1122113179915,5.68711503195279e-07,4.90576213093523e-06,"KfGene000137-RA"
70.3484043455086,-1.47094440206309,0.459622119863529,18.0254866665969,0.00291463174244274,0.00930878313832281,"KfGene000140-RA"
