"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Timepoint","Direction"
"03010","03010","219/1710","590/10648",0.371186440677966,2.31134106452572,14.3343286841863,1.09155703221289e-37,3.80953404242299e-35,3.42404205894149e-35,"KfGene000197-RA/KfGene000220-RA/KfGene001568-RA/KfGene001683-RA/KfGene001709-RA/KfGene001992-RA/KfGene001997-RA/KfGene002863-RA/KfGene002897-RA/KfGene002901-RA/KfGene003154-RA/KfGene003380-RA/KfGene003898-RA/KfGene003971-RA/KfGene004067-RA/KfGene004297-RA/KfGene004708-RA/KfGene004789-RA/KfGene005498-RA/KfGene005528-RA/KfGene006046-RA/KfGene006083-RA/KfGene006125-RA/KfGene006295-RA/KfGene006707-RA/KfGene006791-RA/KfGene006799-RA/KfGene006805-RA/KfGene006814-RA/KfGene006828-RA/KfGene006860-RA/KfGene006873-RA/KfGene006892-RA/KfGene007116-RA/KfGene007247-RA/KfGene008191-RA/KfGene008878-RA/KfGene009439-RA/KfGene009663-RA/KfGene010795-RA/KfGene010846-RA/KfGene011024-RA/KfGene011112-RA/KfGene013461-RA/KfGene013532-RA/KfGene013646-RA/KfGene013783-RA/KfGene013788-RA/KfGene013800-RA/KfGene013871-RA/KfGene014216-RA/KfGene014576-RA/KfGene015093-RA/KfGene016959-RA/KfGene017025-RA/KfGene017206-RA/KfGene017247-RA/KfGene017310-RA/KfGene017348-RA/KfGene017376-RA/KfGene017450-RA/KfGene017600-RA/KfGene017981-RA/KfGene018098-RA/KfGene018186-RA/KfGene018295-RA/KfGene018957-RA/KfGene019057-RA/KfGene019420-RA/KfGene019452-RA/KfGene019924-RA/KfGene020093-RA/KfGene020122-RA/KfGene020569-RA/KfGene020575-RA/KfGene020627-RA/KfGene020674-RA/KfGene020806-RA/KfGene021225-RA/KfGene021369-RA/KfGene021420-RA/KfGene022408-RA/KfGene022492-RA/KfGene024181-RA/KfGene024725-RA/KfGene025187-RA/KfGene025802-RA/KfGene026189-RA/KfGene026511-RA/KfGene026516-RA/KfGene027090-RA/KfGene027106-RA/KfGene027366-RA/KfGene027367-RA/KfGene027374-RA/KfGene027777-RA/KfGene027811-RA/KfGene027834-RA/KfGene027997-RA/KfGene028038-RA/KfGene028251-RA/KfGene028380-RA/KfGene029222-RA/KfGene029271-RA/KfGene029732-RA/KfGene029790-RA/KfGene029971-RA/KfGene030059-RA/KfGene030211-RA/KfGene030278-RA/KfGene030484-RA/KfGene030752-RA/KfGene031002-RA/KfGene031009-RA/KfGene031018-RA/KfGene031032-RA/KfGene031168-RA/KfGene031541-RA/KfGene031718-RA/KfGene031771-RA/KfGene031854-RA/KfGene032138-RA/KfGene032382-RA/KfGene032505-RA/KfGene032564-RA/KfGene033251-RA/KfGene033580-RA/KfGene033590-RA/KfGene033861-RA/KfGene034485-RA/KfGene034572-RA/KfGene034640-RA/KfGene035450-RA/KfGene035551-RA/KfGene036291-RA/KfGene036784-RA/KfGene037539-RA/KfGene037959-RA/KfGene038469-RA/KfGene038496-RA/KfGene038775-RA/KfGene039171-RA/KfGene039305-RA/KfGene039497-RA/KfGene039529-RA/KfGene039712-RA/KfGene039737-RA/KfGene039834-RA/KfGene039852-RA/KfGene040478-RA/KfGene040882-RA/KfGene041163-RA/KfGene042334-RA/KfGene042392-RA/KfGene042608-RA/KfGene042912-RA/KfGene042964-RA/KfGene043238-RA/KfGene043256-RA/KfGene043605-RA/KfGene043634-RA/KfGene043666-RA/KfGene043737-RA/KfGene043738-RA/KfGene045157-RA/KfGene045258-RA/KfGene045384-RA/KfGene045397-RA/KfGene045400-RA/KfGene045813-RA/KfGene045838-RA/KfGene045862-RA/KfGene045935-RA/KfGene045950-RA/KfGene045992-RA/KfGene046609-RA/KfGene046629-RA/KfGene046686-RA/KfGene046696-RA/KfGene046703-RA/KfGene047090-RA/KfGene048376-RA/KfGene048384-RA/KfGene048410-RA/KfGene048520-RA/KfGene048524-RA/KfGene048958-RA/KfGene048982-RA/KfGene049225-RA/KfGene049239-RA/KfGene049339-RA/KfGene049531-RA/KfGene049562-RA/KfGene049735-RA/KfGene049806-RA/KfGene049849-RA/KfGene049994-RA/KfGene050346-RA/KfGene050349-RA/KfGene050542-RA/KfGene050573-RA/KfGene051799-RA/KfGene051972-RA/KfGene052143-RA/KfGene052206-RA/KfGene052423-RA/KfGene052551-RA/KfGene053121-RA/KfGene053338-RA/KfGene053989-RA/KfGene054114-RA/KfGene054199-RA/KfGene054357-RA/KfGene054850-RA/KfGene054901-RA/KfGene054991-RA/KfGene055374-RA/KfGene055516-RA/KfGene055613-RA",219,"14","Higher_in_LP1_C3"
"04914","04914","51/1710","120/10648",0.425,2.64643274853801,7.93328740069812,4.17821641297204e-12,7.29098764063621e-10,6.55320258455615e-10,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene003218-RA/KfGene003642-RA/KfGene003647-RA/KfGene003763-RA/KfGene005208-RA/KfGene009090-RA/KfGene009110-RA/KfGene009574-RA/KfGene009582-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene012372-RA/KfGene012405-RA/KfGene012611-RA/KfGene016582-RA/KfGene016592-RA/KfGene020150-RA/KfGene020176-RA/KfGene022126-RA/KfGene024772-RA/KfGene025063-RA/KfGene026853-RA/KfGene026877-RA/KfGene028325-RA/KfGene028341-RA/KfGene029651-RA/KfGene030147-RA/KfGene030168-RA/KfGene030503-RA/KfGene032111-RA/KfGene032278-RA/KfGene037598-RA/KfGene037617-RA/KfGene038547-RA/KfGene040210-RA/KfGene041887-RA/KfGene042350-RA/KfGene042872-RA/KfGene042896-RA/KfGene043790-RA/KfGene043842-RA/KfGene044511-RA/KfGene045000-RA/KfGene047514-RA/KfGene050656-RA/KfGene053497-RA/KfGene053879-RA",51,"14","Higher_in_LP1_C3"
"04110","04110","84/1710","255/10648",0.329411764705882,2.05121431028552,7.43160123093272,1.29466102394304e-11,1.50612232452041e-09,1.35371573731588e-09,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene001774-RA/KfGene003185-RA/KfGene003218-RA/KfGene003763-RA/KfGene004025-RA/KfGene008722-RA/KfGene008995-RA/KfGene009260-RA/KfGene009278-RA/KfGene009351-RA/KfGene009362-RA/KfGene009438-RA/KfGene009574-RA/KfGene009582-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene009995-RA/KfGene010122-RA/KfGene012611-RA/KfGene016582-RA/KfGene016592-RA/KfGene018422-RA/KfGene018714-RA/KfGene019631-RA/KfGene020150-RA/KfGene020176-RA/KfGene020597-RA/KfGene021528-RA/KfGene021540-RA/KfGene022126-RA/KfGene022572-RA/KfGene022686-RA/KfGene023736-RA/KfGene023737-RA/KfGene024772-RA/KfGene025063-RA/KfGene025085-RA/KfGene025086-RA/KfGene025227-RA/KfGene025545-RA/KfGene029947-RA/KfGene029965-RA/KfGene030147-RA/KfGene030168-RA/KfGene031742-RA/KfGene032111-RA/KfGene032278-RA/KfGene036381-RA/KfGene037598-RA/KfGene037617-RA/KfGene038547-RA/KfGene039085-RA/KfGene039251-RA/KfGene040073-RA/KfGene040078-RA/KfGene040210-RA/KfGene040252-RA/KfGene040967-RA/KfGene040968-RA/KfGene041100-RA/KfGene041240-RA/KfGene041949-RA/KfGene042350-RA/KfGene043790-RA/KfGene043842-RA/KfGene044487-RA/KfGene044511-RA/KfGene044882-RA/KfGene045000-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene047514-RA/KfGene048033-RA/KfGene048036-RA/KfGene053199-RA/KfGene053482-RA/KfGene053497-RA/KfGene053507-RA/KfGene053879-RA",84,"14","Higher_in_LP1_C3"
"05322","05322","32/1710","63/10648",0.507936507936508,3.16287013830873,7.53089851557895,1.59337857778307e-10,1.39022280911572e-08,1.24954425310356e-08,"KfGene000467-RA/KfGene005201-RA/KfGene008859-RA/KfGene012360-RA/KfGene013908-RA/KfGene013918-RA/KfGene014409-RA/KfGene014499-RA/KfGene014565-RA/KfGene015979-RA/KfGene017302-RA/KfGene017303-RA/KfGene017304-RA/KfGene017309-RA/KfGene017355-RA/KfGene017357-RA/KfGene017361-RA/KfGene021839-RA/KfGene022478-RA/KfGene022583-RA/KfGene026847-RA/KfGene031054-RA/KfGene031062-RA/KfGene033315-RA/KfGene043190-RA/KfGene043193-RA/KfGene043205-RA/KfGene045883-RA/KfGene046635-RA/KfGene048056-RA/KfGene049713-RA/KfGene054679-RA",32,"14","Higher_in_LP1_C3"
"03030","03030","43/1710","111/10648",0.387387387387387,2.41222274906485,6.54180673466541,6.32610652049335e-09,4.41562235130436e-07,3.96879945917267e-07,"KfGene000615-RA/KfGene001904-RA/KfGene004970-RA/KfGene006562-RA/KfGene006611-RA/KfGene006612-RA/KfGene006613-RA/KfGene008508-RA/KfGene008722-RA/KfGene008995-RA/KfGene009104-RA/KfGene010122-RA/KfGene014902-RA/KfGene014932-RA/KfGene015009-RA/KfGene015825-RA/KfGene018714-RA/KfGene019765-RA/KfGene021160-RA/KfGene021165-RA/KfGene022572-RA/KfGene022686-RA/KfGene025692-RA/KfGene028941-RA/KfGene028943-RA/KfGene029335-RA/KfGene036381-RA/KfGene039085-RA/KfGene039251-RA/KfGene041100-RA/KfGene041240-RA/KfGene042349-RA/KfGene042652-RA/KfGene042973-RA/KfGene042989-RA/KfGene045051-RA/KfGene048033-RA/KfGene048036-RA/KfGene050201-RA/KfGene051589-RA/KfGene052785-RA/KfGene052807-RA/KfGene054082-RA",43,"14","Higher_in_LP1_C3"
"00941","00941","29/1710","63/10648",0.46031746031746,2.86635106284229,6.49844861222173,2.05689757581252e-08,1.19642875659761e-06,1.07536048700374e-06,"KfGene010175-RA/KfGene010299-RA/KfGene010691-RA/KfGene010692-RA/KfGene019871-RA/KfGene020276-RA/KfGene020280-RA/KfGene020621-RA/KfGene025344-RA/KfGene030037-RA/KfGene030047-RA/KfGene032103-RA/KfGene032287-RA/KfGene033905-RA/KfGene034624-RA/KfGene034626-RA/KfGene034653-RA/KfGene036038-RA/KfGene036048-RA/KfGene036860-RA/KfGene044402-RA/KfGene046658-RA/KfGene046669-RA/KfGene046976-RA/KfGene046977-RA/KfGene046984-RA/KfGene048627-RA/KfGene048628-RA/KfGene048670-RA",29,"14","Higher_in_LP1_C3"
"04111","04111","60/1710","198/10648",0.303030303030303,1.8869395711501,5.51010644279545,3.21435379380943e-07,1.60258496291356e-05,1.44041718880483e-05,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene003762-RA/KfGene003780-RA/KfGene004025-RA/KfGene005013-RA/KfGene008722-RA/KfGene008995-RA/KfGene009260-RA/KfGene009351-RA/KfGene009438-RA/KfGene009574-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene010122-RA/KfGene012611-RA/KfGene018422-RA/KfGene019631-RA/KfGene019707-RA/KfGene019720-RA/KfGene021528-RA/KfGene021540-RA/KfGene021847-RA/KfGene023736-RA/KfGene023737-RA/KfGene025085-RA/KfGene025086-RA/KfGene025227-RA/KfGene027449-RA/KfGene027459-RA/KfGene029947-RA/KfGene029965-RA/KfGene030147-RA/KfGene030168-RA/KfGene030724-RA/KfGene031742-RA/KfGene036381-RA/KfGene038547-RA/KfGene039085-RA/KfGene039251-RA/KfGene040073-RA/KfGene040078-RA/KfGene040252-RA/KfGene041100-RA/KfGene041240-RA/KfGene042350-RA/KfGene044487-RA/KfGene044882-RA/KfGene045158-RA/KfGene045248-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene048033-RA/KfGene048036-RA/KfGene053199-RA/KfGene053482-RA/KfGene053507-RA",60,"14","Higher_in_LP1_C3"
"05034","05034","48/1710","151/10648",0.317880794701987,1.979412106425,5.30167193275171,1.05286439856351e-06,4.59312093873332e-05,4.12833672068324e-05,"KfGene000467-RA/KfGene002262-RA/KfGene002263-RA/KfGene005201-RA/KfGene005208-RA/KfGene006906-RA/KfGene008859-RA/KfGene009090-RA/KfGene009110-RA/KfGene013908-RA/KfGene013918-RA/KfGene014409-RA/KfGene014499-RA/KfGene014565-RA/KfGene016112-RA/KfGene016113-RA/KfGene017302-RA/KfGene017303-RA/KfGene017304-RA/KfGene017309-RA/KfGene017355-RA/KfGene017357-RA/KfGene017361-RA/KfGene019179-RA/KfGene019230-RA/KfGene021072-RA/KfGene021839-RA/KfGene022478-RA/KfGene022583-RA/KfGene026627-RA/KfGene028552-RA/KfGene029651-RA/KfGene031054-RA/KfGene031062-RA/KfGene033120-RA/KfGene033315-RA/KfGene040548-RA/KfGene040561-RA/KfGene040967-RA/KfGene040968-RA/KfGene042872-RA/KfGene042896-RA/KfGene045883-RA/KfGene046635-RA/KfGene048056-RA/KfGene049713-RA/KfGene050656-RA/KfGene054679-RA",48,"14","Higher_in_LP1_C3"
"04113","04113","45/1710","146/10648",0.308219178082192,1.91925018024513,4.89176574664612,5.70513963140452e-06,0.000221232636817798,0.000198845802357725,"KfGene000610-RA/KfGene000612-RA/KfGene000720-RA/KfGene002368-RA/KfGene002388-RA/KfGene004025-RA/KfGene006913-RA/KfGene008722-RA/KfGene008995-RA/KfGene009438-RA/KfGene009574-RA/KfGene009782-RA/KfGene009783-RA/KfGene009824-RA/KfGene010122-RA/KfGene012611-RA/KfGene018422-RA/KfGene018766-RA/KfGene021072-RA/KfGene021224-RA/KfGene021528-RA/KfGene021540-RA/KfGene022738-RA/KfGene025085-RA/KfGene025086-RA/KfGene025227-RA/KfGene026627-RA/KfGene028266-RA/KfGene029947-RA/KfGene029965-RA/KfGene031742-RA/KfGene036381-RA/KfGene038547-RA/KfGene039085-RA/KfGene039251-RA/KfGene040252-RA/KfGene041100-RA/KfGene041240-RA/KfGene042350-RA/KfGene044882-RA/KfGene045404-RA/KfGene045434-RA/KfGene045748-RA/KfGene048033-RA/KfGene048036-RA",45,"14","Higher_in_LP1_C3"
"03440","03440","39/1710","121/10648",0.322314049586777,2.00701754385965,4.87269151456501,7.29507967360222e-06,0.000249572729005824,0.000224318121682207,"KfGene001737-RA/KfGene001756-RA/KfGene001757-RA/KfGene001811-RA/KfGene001904-RA/KfGene005375-RA/KfGene005391-RA/KfGene008104-RA/KfGene008508-RA/KfGene010824-RA/KfGene010849-RA/KfGene012956-RA/KfGene014215-RA/KfGene014227-RA/KfGene014902-RA/KfGene014932-RA/KfGene015825-RA/KfGene017306-RA/KfGene018623-RA/KfGene018631-RA/KfGene019255-RA/KfGene019765-RA/KfGene028941-RA/KfGene028943-RA/KfGene030860-RA/KfGene040161-RA/KfGene040188-RA/KfGene043182-RA/KfGene044027-RA/KfGene044386-RA/KfGene044420-RA/KfGene045051-RA/KfGene045710-RA/KfGene048347-RA/KfGene049660-RA/KfGene051378-RA/KfGene051388-RA/KfGene051589-RA/KfGene053315-RA",39,"14","Higher_in_LP1_C3"
