"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Timepoint","Direction"
"00500","00500","82/1489","255/10648",0.32156862745098,2.29957202491473,8.4690934881535,5.11703013109719e-14,1.77560945549073e-11,1.14190567136064e-11,"KfGene000193-RA/KfGene001270-RA/KfGene001448-RA/KfGene001559-RA/KfGene001686-RA/KfGene001749-RA/KfGene001766-RA/KfGene003386-RA/KfGene004095-RA/KfGene004115-RA/KfGene006128-RA/KfGene006214-RA/KfGene006297-RA/KfGene006397-RA/KfGene006440-RA/KfGene006538-RA/KfGene007997-RA/KfGene009235-RA/KfGene009285-RA/KfGene009369-RA/KfGene009470-RA/KfGene010810-RA/KfGene011007-RA/KfGene011797-RA/KfGene011801-RA/KfGene015584-RA/KfGene015585-RA/KfGene015592-RA/KfGene018719-RA/KfGene023519-RA/KfGene023525-RA/KfGene024907-RA/KfGene024952-RA/KfGene027745-RA/KfGene027894-RA/KfGene028412-RA/KfGene028416-RA/KfGene028446-RA/KfGene028463-RA/KfGene031031-RA/KfGene031809-RA/KfGene031903-RA/KfGene032190-RA/KfGene032640-RA/KfGene032887-RA/KfGene032975-RA/KfGene033036-RA/KfGene033330-RA/KfGene033394-RA/KfGene033403-RA/KfGene034118-RA/KfGene039483-RA/KfGene039509-RA/KfGene039556-RA/KfGene039557-RA/KfGene039584-RA/KfGene040238-RA/KfGene042196-RA/KfGene043333-RA/KfGene045745-RA/KfGene045784-RA/KfGene045856-RA/KfGene045942-RA/KfGene046110-RA/KfGene046111-RA/KfGene046240-RA/KfGene046258-RA/KfGene048024-RA/KfGene048785-RA/KfGene048937-RA/KfGene049548-RA/KfGene051889-RA/KfGene051959-RA/KfGene054752-RA/KfGene054842-RA/KfGene055241-RA/KfGene055382-RA/KfGene058959-RA/KfGene060141-RA/KfGene060271-RA/KfGene060509-RA/KfGene060895-RA",82,"22","Higher_in_LP6_CAM"
"05152","05152","97/1489","351/10648",0.276353276353276,1.97623216024828,7.49873936279546,7.48953958394874e-12,1.29943511781511e-09,8.35674943051122e-10,"KfGene000297-RA/KfGene000298-RA/KfGene000409-RA/KfGene000522-RA/KfGene003351-RA/KfGene003366-RA/KfGene004285-RA/KfGene004770-RA/KfGene004771-RA/KfGene005552-RA/KfGene005588-RA/KfGene006105-RA/KfGene006174-RA/KfGene006623-RA/KfGene006625-RA/KfGene006626-RA/KfGene007395-RA/KfGene008114-RA/KfGene008115-RA/KfGene008123-RA/KfGene008153-RA/KfGene008994-RA/KfGene012217-RA/KfGene012269-RA/KfGene013080-RA/KfGene015388-RA/KfGene015580-RA/KfGene016767-RA/KfGene017315-RA/KfGene017696-RA/KfGene018215-RA/KfGene020038-RA/KfGene021739-RA/KfGene022175-RA/KfGene022182-RA/KfGene022187-RA/KfGene022188-RA/KfGene022196-RA/KfGene022197-RA/KfGene022198-RA/KfGene022201-RA/KfGene022206-RA/KfGene022210-RA/KfGene022219-RA/KfGene022220-RA/KfGene022238-RA/KfGene022240-RA/KfGene022241-RA/KfGene022247-RA/KfGene022257-RA/KfGene022263-RA/KfGene022264-RA/KfGene022267-RA/KfGene022268-RA/KfGene022303-RA/KfGene022306-RA/KfGene022307-RA/KfGene022392-RA/KfGene022393-RA/KfGene023296-RA/KfGene023334-RA/KfGene025584-RA/KfGene026082-RA/KfGene026110-RA/KfGene027464-RA/KfGene027952-RA/KfGene030274-RA/KfGene031702-RA/KfGene031901-RA/KfGene033969-RA/KfGene034004-RA/KfGene034883-RA/KfGene038762-RA/KfGene038831-RA/KfGene039421-RA/KfGene039522-RA/KfGene040083-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene049715-RA/KfGene050461-RA/KfGene050559-RA/KfGene051148-RA/KfGene051901-RA/KfGene052086-RA/KfGene052284-RA/KfGene052306-RA/KfGene053549-RA/KfGene053555-RA/KfGene059975-RA",97,"22","Higher_in_LP6_CAM"
"02026","02026","19/1489","26/10648",0.730769230769231,5.22580978457406,8.69822056732099,1.30045776195952e-11,1.49739996863485e-09,9.62987390719213e-10,"KfGene000193-RA/KfGene001559-RA/KfGene001686-RA/KfGene007997-RA/KfGene009470-RA/KfGene018719-RA/KfGene028412-RA/KfGene028416-RA/KfGene031809-RA/KfGene031903-RA/KfGene033036-RA/KfGene048785-RA/KfGene048937-RA/KfGene051889-RA/KfGene051959-RA/KfGene055241-RA/KfGene055382-RA/KfGene060271-RA/KfGene060509-RA",19,"22","Higher_in_LP6_CAM"
"04150","04150","63/1489","192/10648",0.328125,2.34645735392881,7.59097176607631,1.72610947393067e-11,1.49739996863485e-09,9.62987390719213e-10,"KfGene004682-RA/KfGene004738-RA/KfGene006105-RA/KfGene006174-RA/KfGene007581-RA/KfGene008087-RA/KfGene008090-RA/KfGene008252-RA/KfGene008502-RA/KfGene008823-RA/KfGene008853-RA/KfGene009281-RA/KfGene011546-RA/KfGene011608-RA/KfGene013080-RA/KfGene014477-RA/KfGene014598-RA/KfGene015022-RA/KfGene015038-RA/KfGene016341-RA/KfGene016375-RA/KfGene017122-RA/KfGene017315-RA/KfGene017559-RA/KfGene017560-RA/KfGene020047-RA/KfGene020079-RA/KfGene021031-RA/KfGene022906-RA/KfGene022936-RA/KfGene023296-RA/KfGene023334-RA/KfGene027825-RA/KfGene027952-RA/KfGene029766-RA/KfGene030357-RA/KfGene030476-RA/KfGene030940-RA/KfGene031534-RA/KfGene031702-RA/KfGene032347-RA/KfGene036404-RA/KfGene036840-RA/KfGene038703-RA/KfGene039172-RA/KfGene039185-RA/KfGene039304-RA/KfGene040630-RA/KfGene040681-RA/KfGene043981-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene046030-RA/KfGene046031-RA/KfGene047026-RA/KfGene048015-RA/KfGene051919-RA/KfGene053705-RA/KfGene053718-RA/KfGene054394-RA/KfGene058392-RA/KfGene060687-RA",63,"22","Higher_in_LP6_CAM"
"04727","04727","32/1489","70/10648",0.457142857142857,3.26907800057565,7.67951176864147,1.31987751877819e-10,9.15994998032063e-09,5.89082176802054e-09,"KfGene000486-RA/KfGene008566-RA/KfGene012027-RA/KfGene012048-RA/KfGene017155-RA/KfGene019824-RA/KfGene021918-RA/KfGene021930-RA/KfGene028227-RA/KfGene028306-RA/KfGene028930-RA/KfGene030855-RA/KfGene033286-RA/KfGene038925-RA/KfGene038927-RA/KfGene038993-RA/KfGene043053-RA/KfGene043054-RA/KfGene043055-RA/KfGene043056-RA/KfGene043058-RA/KfGene043061-RA/KfGene043637-RA/KfGene044213-RA/KfGene046242-RA/KfGene046260-RA/KfGene054462-RA/KfGene054502-RA/KfGene055049-RA/KfGene055091-RA/KfGene057760-RA/KfGene059628-RA",32,"22","Higher_in_LP6_CAM"
"00190","00190","73/1489","259/10648",0.281853281853282,2.01556329427384,6.67124593206793,1.21643366762637e-09,7.03504137777253e-08,4.52427960590862e-08,"KfGene001433-RA/KfGene001963-RA/KfGene001979-RA/KfGene002379-RA/KfGene002398-RA/KfGene003351-RA/KfGene003366-RA/KfGene006081-RA/KfGene006087-RA/KfGene008502-RA/KfGene015451-RA/KfGene015479-RA/KfGene016341-RA/KfGene016375-RA/KfGene016535-RA/KfGene017003-RA/KfGene017696-RA/KfGene020022-RA/KfGene020047-RA/KfGene020079-RA/KfGene020145-RA/KfGene020167-RA/KfGene020519-RA/KfGene022117-RA/KfGene022136-RA/KfGene022137-RA/KfGene022175-RA/KfGene022906-RA/KfGene022936-RA/KfGene024039-RA/KfGene024066-RA/KfGene024351-RA/KfGene024731-RA/KfGene027825-RA/KfGene031499-RA/KfGene031702-RA/KfGene032347-RA/KfGene033159-RA/KfGene036556-RA/KfGene037084-RA/KfGene037176-RA/KfGene037358-RA/KfGene037428-RA/KfGene038703-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene043981-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene045226-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene046662-RA/KfGene049906-RA/KfGene050847-RA/KfGene050914-RA/KfGene051861-RA/KfGene052474-RA/KfGene053549-RA/KfGene053555-RA/KfGene053705-RA/KfGene053718-RA/KfGene053753-RA/KfGene057585-RA/KfGene057598-RA/KfGene058178-RA/KfGene058626-RA/KfGene058904-RA/KfGene060001-RA/KfGene060687-RA",73,"22","Higher_in_LP6_CAM"
"04140","04140","63/1489","217/10648",0.290322580645161,2.07612816568816,6.45755091423988,4.76084893949661e-09,2.36002083143617e-07,1.51774432356884e-07,"KfGene000409-RA/KfGene000522-RA/KfGene002911-RA/KfGene002982-RA/KfGene004653-RA/KfGene004682-RA/KfGene004738-RA/KfGene004751-RA/KfGene005353-RA/KfGene005356-RA/KfGene006105-RA/KfGene006174-RA/KfGene006324-RA/KfGene006370-RA/KfGene006738-RA/KfGene007581-RA/KfGene008087-RA/KfGene008090-RA/KfGene009281-RA/KfGene012027-RA/KfGene012048-RA/KfGene013080-RA/KfGene014477-RA/KfGene014598-RA/KfGene015022-RA/KfGene015038-RA/KfGene015465-RA/KfGene015492-RA/KfGene017122-RA/KfGene017315-RA/KfGene017559-RA/KfGene017560-RA/KfGene019824-RA/KfGene021031-RA/KfGene023296-RA/KfGene023334-RA/KfGene027952-RA/KfGene028227-RA/KfGene028306-RA/KfGene029766-RA/KfGene030357-RA/KfGene030476-RA/KfGene030575-RA/KfGene031534-RA/KfGene033286-RA/KfGene033615-RA/KfGene033662-RA/KfGene034435-RA/KfGene036840-RA/KfGene036972-RA/KfGene039172-RA/KfGene039304-RA/KfGene043637-RA/KfGene044339-RA/KfGene045712-RA/KfGene047026-RA/KfGene048015-RA/KfGene050097-RA/KfGene051297-RA/KfGene051919-RA/KfGene054394-RA/KfGene055049-RA/KfGene055091-RA",63,"22","Higher_in_LP6_CAM"
"04371","04371","50/1489","160/10648",0.3125,2.23472128945601,6.34482334550172,1.34424442500698e-08,5.83066019346778e-07,3.74973444870368e-07,"KfGene000409-RA/KfGene000522-RA/KfGene001747-RA/KfGene002911-RA/KfGene002982-RA/KfGene004682-RA/KfGene004738-RA/KfGene006105-RA/KfGene006174-RA/KfGene006623-RA/KfGene006625-RA/KfGene006626-RA/KfGene007395-RA/KfGene007581-RA/KfGene008087-RA/KfGene008090-RA/KfGene012027-RA/KfGene012048-RA/KfGene013080-RA/KfGene014477-RA/KfGene014598-RA/KfGene015022-RA/KfGene015038-RA/KfGene017315-RA/KfGene017559-RA/KfGene017560-RA/KfGene019824-RA/KfGene021031-RA/KfGene021739-RA/KfGene021918-RA/KfGene021930-RA/KfGene023296-RA/KfGene023334-RA/KfGene027952-RA/KfGene028227-RA/KfGene028306-RA/KfGene028930-RA/KfGene029766-RA/KfGene031534-RA/KfGene033286-RA/KfGene036840-RA/KfGene039172-RA/KfGene039304-RA/KfGene043637-RA/KfGene044213-RA/KfGene047026-RA/KfGene048015-RA/KfGene051919-RA/KfGene055049-RA/KfGene055091-RA",50,"22","Higher_in_LP6_CAM"
"05323","05323","31/1489","80/10648",0.3875,2.77105439892545,6.41087691228792,3.31984471856625e-08,1.27998457482499e-06,8.23166175831632e-07,"KfGene003351-RA/KfGene003366-RA/KfGene008502-RA/KfGene016341-RA/KfGene016375-RA/KfGene017696-RA/KfGene020047-RA/KfGene020079-RA/KfGene022175-RA/KfGene022906-RA/KfGene022936-RA/KfGene027825-RA/KfGene031702-RA/KfGene032347-RA/KfGene038703-RA/KfGene041090-RA/KfGene041175-RA/KfGene043637-RA/KfGene043981-RA/KfGene044102-RA/KfGene044125-RA/KfGene044147-RA/KfGene045429-RA/KfGene045430-RA/KfGene045477-RA/KfGene051861-RA/KfGene053549-RA/KfGene053555-RA/KfGene053705-RA/KfGene053718-RA/KfGene060687-RA",31,"22","Higher_in_LP6_CAM"
"05133","05133","62/1489","227/10648",0.273127753303965,1.95316609615891,5.85280107102438,7.76719117199095e-08,2.69521533668086e-06,1.73331002996009e-06,"KfGene000297-RA/KfGene000298-RA/KfGene004770-RA/KfGene004771-RA/KfGene005552-RA/KfGene005588-RA/KfGene006105-RA/KfGene006174-RA/KfGene007395-RA/KfGene013080-RA/KfGene013894-RA/KfGene013903-RA/KfGene014392-RA/KfGene014472-RA/KfGene017315-RA/KfGene018215-RA/KfGene019950-RA/KfGene020641-RA/KfGene021739-RA/KfGene021918-RA/KfGene021930-RA/KfGene022182-RA/KfGene022187-RA/KfGene022188-RA/KfGene022196-RA/KfGene022197-RA/KfGene022198-RA/KfGene022201-RA/KfGene022206-RA/KfGene022210-RA/KfGene022219-RA/KfGene022220-RA/KfGene022238-RA/KfGene022240-RA/KfGene022241-RA/KfGene022247-RA/KfGene022257-RA/KfGene022263-RA/KfGene022264-RA/KfGene022267-RA/KfGene022268-RA/KfGene022303-RA/KfGene022306-RA/KfGene022307-RA/KfGene022392-RA/KfGene022393-RA/KfGene023296-RA/KfGene023334-RA/KfGene025584-RA/KfGene026082-RA/KfGene026110-RA/KfGene027869-RA/KfGene027952-RA/KfGene028930-RA/KfGene031863-RA/KfGene033969-RA/KfGene034004-RA/KfGene034883-RA/KfGene038762-RA/KfGene038831-RA/KfGene039522-RA/KfGene051148-RA",62,"22","Higher_in_LP6_CAM"
"00710","00710","42/1489","132/10648",0.318181818181818,2.27535258562794,5.94468559302818,1.09774779129011e-07,3.23506456905122e-06,2.08049048578449e-06,"KfGene000528-RA/KfGene001627-RA/KfGene002788-RA/KfGene002819-RA/KfGene004125-RA/KfGene004175-RA/KfGene006301-RA/KfGene006401-RA/KfGene006698-RA/KfGene006766-RA/KfGene007051-RA/KfGene008398-RA/KfGene009128-RA/KfGene009143-RA/KfGene010114-RA/KfGene015698-RA/KfGene015719-RA/KfGene015806-RA/KfGene015821-RA/KfGene017666-RA/KfGene020112-RA/KfGene020915-RA/KfGene020932-RA/KfGene023571-RA/KfGene023587-RA/KfGene023695-RA/KfGene023703-RA/KfGene024487-RA/KfGene024519-RA/KfGene030171-RA/KfGene030264-RA/KfGene033355-RA/KfGene036265-RA/KfGene039498-RA/KfGene039528-RA/KfGene040550-RA/KfGene041095-RA/KfGene042251-RA/KfGene042276-RA/KfGene046355-RA/KfGene046483-RA/KfGene061158-RA",42,"22","Higher_in_LP6_CAM"
